,mRNA_name,mRNA_score,mRNA_label
153,SALL1,0.9998289346694946,0.0
154,OGFRL1,0.9998288154602051,0.0
155,ARRDC3,0.9998288154602051,1.0
156,EIF3F,0.9998286962509155,0.0
157,AQP8,0.9998286962509155,0.0
158,KLF2,0.999828577041626,0.0
159,MAGI1,0.9998281002044678,0.0
160,DBT,0.9998281002044678,0.0
161,ATF3,0.9998278617858887,0.0
162,NECAB1,0.9998277425765991,0.0
163,GFOD1,0.9998270869255066,0.0
164,CACHD1,0.999826967716217,0.0
165,IGF1,0.9998267292976379,0.0
166,FLNC,0.9998267292976379,0.0
167,LPIN2,0.9998264908790588,1.0
168,SLC7A1,0.9998263716697693,0.0
169,LEPR,0.9998263716697693,1.0
170,C2orf88,0.9998263716697693,0.0
171,EBF1,0.9998262524604797,0.0
172,CDKN1B,0.9998260140419006,0.0
173,SLC6A4,0.9998260140419006,1.0
174,DAPK3,0.9998255372047424,0.0
175,KCND3,0.9998255372047424,0.0
176,DMAC2L,0.9998255372047424,0.0
177,AR,0.9998254179954529,0.0
178,SH3D19,0.9998251795768738,0.0
179,SIGIRR,0.9998250603675842,0.0
180,EZH1,0.9998249411582947,0.0
181,QPRT,0.9998249411582947,0.0
182,MACF1,0.9998244643211365,1.0
183,DMBT1,0.9998242259025574,1.0
184,FMNL2,0.9998238682746887,0.0
185,CACNA1I,0.9998237490653992,0.0
186,BACH2,0.9998236298561096,0.0
187,ERBB2,0.9998236298561096,0.0
188,ZEB2,0.9998233914375305,0.0
189,JOSD1,0.9998230338096619,0.0
190,UACA,0.9998230338096619,1.0
191,NLGN2,0.9998229146003723,0.0
192,EDEM1,0.9998227953910828,1.0
193,UGP2,0.9998226761817932,0.0
194,NAPEPLD,0.9998224377632141,0.0
195,PRKG1,0.999822199344635,0.0
196,TMEM174,0.9998220801353455,0.0
197,TAOK2,0.9998218417167664,0.0
198,EPHA5,0.9998218417167664,0.0
199,NDST1,0.9998217225074768,0.0
200,DIXDC1,0.9998217225074768,1.0
201,MUC6,0.9998216032981873,0.0
202,ELN,0.9998214840888977,0.0
203,GCGR,0.9998212456703186,0.0
204,AZIN2,0.9998210072517395,1.0
205,F9,0.9998206496238708,0.0
206,AGER,0.9998205304145813,0.0
207,HDLBP,0.9998204112052917,0.0
208,ZNF418,0.9998202919960022,0.0
209,KDM8,0.9998202919960022,1.0
210,PRDX5,0.9998201727867126,0.0
211,TMOD1,0.9998199343681335,1.0
212,PDILT,0.9998195767402649,0.0
213,MSRB3,0.9998195767402649,0.0
214,RHOBTB2,0.9998195767402649,0.0
215,PDZRN3,0.9998194575309753,0.0
216,BCAT1,0.9998193383216858,0.0
217,CLEC4D,0.9998192191123962,1.0
218,CYP2C8,0.9998190999031067,0.0
219,PGA3,0.9998190999031067,0.0
220,P3H3,0.9998189806938171,0.0
221,KLB,0.9998188614845276,0.0
222,CADM2,0.9998183846473694,0.0
223,MFAP4,0.9998183846473694,0.0
224,GNAL,0.9998182654380798,0.0
225,MCC,0.9998182654380798,0.0
226,CXCL12,0.9998181462287903,0.0
227,EFNB2,0.9998181462287903,0.0
228,LRRC32,0.9998179078102112,0.0
229,F11,0.9998177886009216,0.0
230,UQCRFS1,0.9998175501823425,0.0
231,UTY,0.9998175501823425,0.0
232,USP54,0.999817430973053,0.0
233,FGF2,0.999817430973053,0.0
234,OAT,0.9998171925544739,0.0
235,SYPL1,0.9998169541358948,0.0
236,FLVCR2,0.9998165965080261,0.0
237,CECR2,0.9998165965080261,0.0
238,CCNG2,0.9998164772987366,0.0
239,SLC4A9,0.9998164772987366,1.0
240,DCAF7,0.9998162388801575,0.0
241,CFL2,0.9998161196708679,0.0
242,NOSTRIN,0.9998161196708679,1.0
243,MT-ND5,0.9998157620429993,0.0
244,BCL2,0.9998157620429993,1.0
245,SLC7A9,0.9998156428337097,0.0
246,EXOC6,0.9998155236244202,1.0
247,WDR38,0.9998154044151306,0.0
248,DDX3X,0.9998154044151306,0.0
249,NFIA,0.9998152852058411,0.0
250,DBH,0.9998152852058411,0.0
251,ENPP1,0.999815046787262,0.0
252,LRP6,0.999815046787262,0.0
253,CBLIF,0.9998149275779724,0.0
254,SLC48A1,0.9998149275779724,0.0
255,JUNB,0.9998148083686829,1.0
256,ASPH,0.9998146891593933,1.0
257,ABI2,0.9998145699501038,1.0
258,HSPA5,0.999813973903656,0.0
259,KIAA1958,0.999813973903656,0.0
260,LIN7A,0.9998133778572083,0.0
